Indicator,Cities,Country,Region,Percentage_Value,Estimate_source,ObjectId
"SDG 11.2.1: Proportion of population that has convenient access to public transport, by sex, age and persons with disabilities.",Ituiutaba,Brazil,Latin America and the Caribbean ,90.3,UN-Habitat Urban Indicators Database,494
"SDG 11.2.1: Proportion of population that has convenient access to public transport, by sex, age and persons with disabilities.",Izmir,Turkey,Western Asia  and Northern Africa ,83.28,UN-Habitat Urban Indicators Database,495
"SDG 11.2.1: Proportion of population that has convenient access to public transport, by sex, age and persons with disabilities.",Jaén,Peru,Latin America and the Caribbean ,26.39,UN-Habitat Urban Indicators Database,496
"SDG 11.2.1: Proportion of population that has convenient access to public transport, by sex, age and persons with disabilities.",Jaffna,Sri-Lanka,Central and Southern Asia ,27.39,UN-Habitat Urban Indicators Database,497
"SDG 11.2.1: Proportion of population that has convenient access to public transport, by sex, age and persons with disabilities.",Jaipur,India,Central and Southern Asia ,47.92,UN-Habitat Urban Indicators Database,498
"SDG 11.2.1: Proportion of population that has convenient access to public transport, by sex, age and persons with disabilities.",Jalalabad,Afghanistan,Central and Southern Asia ,29.06,UN-Habitat Urban Indicators Database,499
"SDG 11.2.1: Proportion of population that has convenient access to public transport, by sex, age and persons with disabilities.",Jalal-Abad,Kyrgyzstan,Central and Southern Asia ,21.54,UN-Habitat Urban Indicators Database,500
"SDG 11.2.1: Proportion of population that has convenient access to public transport, by sex, age and persons with disabilities.",Jalna,India,Central and Southern Asia ,14.6,UN-Habitat Urban Indicators Database,501
"SDG 11.2.1: Proportion of population that has convenient access to public transport, by sex, age and persons with disabilities.",Jamalpur,Bangladesh,Central and Southern Asia ,24.68,UN-Habitat Urban Indicators Database,502
"SDG 11.2.1: Proportion of population that has convenient access to public transport, by sex, age and persons with disabilities.",Jambi,Indonesia,Eastern and South-Eastern Asia,14.23,UN-Habitat Urban Indicators Database,503
"SDG 11.2.1: Proportion of population that has convenient access to public transport, by sex, age and persons with disabilities.",Janakpur,Nepal,Central and Southern Asia ,10.3,UN-Habitat Urban Indicators Database,504
"SDG 11.2.1: Proportion of population that has convenient access to public transport, by sex, age and persons with disabilities.",Jastrzebie-Zdrój,Poland,Northern America and Europe,81.34,European Commission DG REGIO,505
"SDG 11.2.1: Proportion of population that has convenient access to public transport, by sex, age and persons with disabilities.",Ludwigsburg,Germany,Northern America and Europe,95.77,European Commission DG REGIO,506
"SDG 11.2.1: Proportion of population that has convenient access to public transport, by sex, age and persons with disabilities.",Jenin,Palestinian territories ,Western Asia  and Northern Africa ,21.15,UN-Habitat Urban Indicators Database,507
"SDG 11.2.1: Proportion of population that has convenient access to public transport, by sex, age and persons with disabilities.",Greve / Ishøj,Denmark,Northern America and Europe,77.14,European Commission DG REGIO,508
"SDG 11.2.1: Proportion of population that has convenient access to public transport, by sex, age and persons with disabilities.",Jequie,Brazil,Latin America and the Caribbean ,10.37,UN-Habitat Urban Indicators Database,509
"SDG 11.2.1: Proportion of population that has convenient access to public transport, by sex, age and persons with disabilities.",Grimsby / Cleethorpes,United Kingdom,Northern America and Europe,94.79,European Commission DG REGIO,510
"SDG 11.2.1: Proportion of population that has convenient access to public transport, by sex, age and persons with disabilities.",Gorgan,Iran,Central and Southern Asia ,12.77,UN-Habitat Urban Indicators Database,511
"SDG 11.2.1: Proportion of population that has convenient access to public transport, by sex, age and persons with disabilities.",Jessore,Bangladesh,Central and Southern Asia ,39.81,UN-Habitat Urban Indicators Database,512
"SDG 11.2.1: Proportion of population that has convenient access to public transport, by sex, age and persons with disabilities.",Jhang,Pakistan,Central and Southern Asia ,14.53,UN-Habitat Urban Indicators Database,513
"SDG 11.2.1: Proportion of population that has convenient access to public transport, by sex, age and persons with disabilities.","Jinan, Shandong",China,Eastern and South-Eastern Asia,34.3,UN-Habitat Urban Indicators Database,514
"SDG 11.2.1: Proportion of population that has convenient access to public transport, by sex, age and persons with disabilities.",Jinja,Uganda,Sub-Saharan Africa,11.51,UN-Habitat Urban Indicators Database,515
"SDG 11.2.1: Proportion of population that has convenient access to public transport, by sex, age and persons with disabilities.",Jinju,Republic of Korea (South Korea),Eastern and South-Eastern Asia,64.79,UN-Habitat Urban Indicators Database,516
"SDG 11.2.1: Proportion of population that has convenient access to public transport, by sex, age and persons with disabilities.",Johannesburg,South Africa,Sub-Saharan Africa,20.78,UN-Habitat Urban Indicators Database,517
"SDG 11.2.1: Proportion of population that has convenient access to public transport, by sex, age and persons with disabilities.",Jombang,Indonesia,Eastern and South-Eastern Asia,14.23,UN-Habitat Urban Indicators Database,518
"SDG 11.2.1: Proportion of population that has convenient access to public transport, by sex, age and persons with disabilities.",Juliaca,Peru,Latin America and the Caribbean ,14.1,UN-Habitat Urban Indicators Database,519
"SDG 11.2.1: Proportion of population that has convenient access to public transport, by sex, age and persons with disabilities.",Jyväskylä,Finland,Northern America and Europe,93.45,European Commission DG REGIO,520
"SDG 11.2.1: Proportion of population that has convenient access to public transport, by sex, age and persons with disabilities.",Dosso,Niger,Sub-Saharan Africa,9,UN-Habitat Urban Indicators Database,521
"SDG 11.2.1: Proportion of population that has convenient access to public transport, by sex, age and persons with disabilities.",Kampala,Uganda,Sub-Saharan Africa,48.66,UN-Habitat Urban Indicators Database,522
"SDG 11.2.1: Proportion of population that has convenient access to public transport, by sex, age and persons with disabilities.",La Rochelle,France,Northern America and Europe,97.13,European Commission DG REGIO,523
"SDG 11.2.1: Proportion of population that has convenient access to public transport, by sex, age and persons with disabilities.",Leverkusen,Germany,Northern America and Europe,92.66,European Commission DG REGIO,524
"SDG 11.2.1: Proportion of population that has convenient access to public transport, by sex, age and persons with disabilities.",La Serena,Chile,Latin America and the Caribbean ,71.33,UN-Habitat Urban Indicators Database,525
"SDG 11.2.1: Proportion of population that has convenient access to public transport, by sex, age and persons with disabilities.",Kettering,United Kingdom,Northern America and Europe,93.53,European Commission DG REGIO,526
"SDG 11.2.1: Proportion of population that has convenient access to public transport, by sex, age and persons with disabilities.",La Seyne-sur-Mer / Sanary-sur-Mer,France,Northern America and Europe,86.07,European Commission DG REGIO,527
"SDG 11.2.1: Proportion of population that has convenient access to public transport, by sex, age and persons with disabilities.",Kingston-upon-Hull,United Kingdom,Northern America and Europe,95.71,European Commission DG REGIO,528
"SDG 11.2.1: Proportion of population that has convenient access to public transport, by sex, age and persons with disabilities.",Douai,France,Northern America and Europe,91.16,European Commission DG REGIO,529
"SDG 11.2.1: Proportion of population that has convenient access to public transport, by sex, age and persons with disabilities.",La Vega,Dominican Republic,Latin America and the Caribbean ,11.46,UN-Habitat Urban Indicators Database,530
"SDG 11.2.1: Proportion of population that has convenient access to public transport, by sex, age and persons with disabilities.",Kinshasa,Congo Dem. Rep.,Sub-Saharan Africa,17.42,UN-Habitat Urban Indicators Database,531
"SDG 11.2.1: Proportion of population that has convenient access to public transport, by sex, age and persons with disabilities.",Liberec,Czech Republic,Northern America and Europe,92.16,European Commission DG REGIO,532
"SDG 11.2.1: Proportion of population that has convenient access to public transport, by sex, age and persons with disabilities.",LacHabana,Cuba,Latin America and the Caribbean ,80.09,UN-Habitat Urban Indicators Database,533
"SDG 11.2.1: Proportion of population that has convenient access to public transport, by sex, age and persons with disabilities.",Kisumu,Kenya,Sub-Saharan Africa,27.63,UN-Habitat Urban Indicators Database,534
